game_id	game_date	site	team_id	team_name	team_minutes	team_fgm	team_fga	team_three_fgm	team_three_fga	team_ft	team_fta	team_pts	team_offreb	team_defreb	team_totreb	team_ast	team_to	team_stl	team_blk	team_fouls
1503462	01/12/2013	Home	772	Western Ky.	200:00	18	54	4	20	22	31	62	9	19	28	5	12	12	5	19
1382479	11/20/2012	Away	0	Johnson & Wales (NC)	200:00	14	58	5	23	7	12	40	13	17	30	7	25	6	6	20
1382479	11/20/2012	Home	149	Coastal Caro.	200:00	36	73	3	12	21	33	96	27	33	60	13	13	15	1	15
1574479	02/06/2013	Away	48	Charleston So.	200:00	18	58	6	32	11	17	53	8	19	27	8	13	9	1	21
1574479	02/06/2013	Home	149	Coastal Caro.	200:00	25	52	6	11	17	26	73	12	35	47	11	17	8	1	17
1574475	02/06/2013	Away	1092	Gardner-Webb	200:00	20	52	8	20	6	8	54	14	11	25	6	12	7	4	8
1574475	02/06/2013	Home	1320	Presbyterian	200:00	23	44	7	16	4	4	57	9	15	24	11	15	5	1	10
1382477	11/20/2012	Away	553	Prairie View	200:00	30	74	5	15	5	9	70	16	36	52	12	24	9	3	24
1382477	11/20/2012	Home	9	UAB	200:00	22	66	4	23	28	37	76	14	29	43	14	16	14	4	17
1555072	01/31/2013	Away	308	IPFW	200:00	27	64	6	19	19	25	79	15	19	34	13	11	10	2	18
1555072	01/31/2013	Home	464	Omaha	200:00	32	51	6	12	16	20	86	2	25	27	13	18	6	3	23
1534058	01/24/2013	Away	366	Louisiana Tech	200:00	29	65	5	21	13	14	76	14	26	40	14	13	10	1	18
1534058	01/24/2013	Home	630	San Jose St.	200:00	20	50	5	14	9	15	54	3	22	25	10	17	4		17
1534055	01/24/2013	Away	2711	North Florida	200:00	24	69	4	29	5	9	57	12	32	44	12	8	8	2	19
1534055	01/24/2013	Home	10411	USC Upstate	200:00	23	56	6	15	11	23	63	9	35	44	15	10	4	6	9
1534057	01/24/2013	Away	30	Arkansas St.	225:00	19	52	9	22	20	24	67	15	19	34	9	18	9	2	17
1534057	01/24/2013	Home	716	Troy	225:00	27	56	7	20	13	18	74	16	21	37	14	15	11	3	15
1444908	12/15/2012	Away	792	Winthrop	200:00	16	48	4	21	14	21	50	11	21	32	7	16	5	4	11
1444908	12/15/2012	Home	519	Ohio	200:00	18	51	6	17	7	13	49	14	22	36	12	18	6	2	12
1541872	01/26/2013	Away	446	Morgan St.	200:00	22	56	3	15	8	15	55	12	28	40	12	9	5	1	18
1541872	01/26/2013	Home	488	N.C. A&T;	200:00	19	52	4	21	10	18	52	9	28	37	8	8	3	6	14
1363672	11/15/2012	Away	0	Pacifica	200:00	14	65	7	26	12	21	47	4	14	18	3	10	8	3	22
1363672	11/15/2012	Home	109	UC Irvine	200:00	42	68	12	21	20	29	116	16	50	66	30	12	2	11	17
1714152	02/23/2013	Away	596	St. Bonaventure	200:00	27	50	6	16	18	23	78	9	26	35	16	14	3	2	19
1714152	02/23/2013	Home	194	Duquesne	200:00	22	56	9	26	18	21	71	10	16	26	15	11	8	3	19
1952568	03/23/2013	Neutral	404	Memphis	200:00	19	64	5	23	5	10	48	11	18	29	8	11	7	5	18
1952568	03/23/2013	Neutral	416	Michigan St.	200:00	26	52	4	16	14	22	70	14	35	49	14	18	10	7	14
1562296	02/02/2013	Away	365	LSU	200:00	25	63	4	25	15	18	69	15	24	39	15	17	11	3	21
1562296	02/02/2013	Home	430	Mississippi St.	200:00	26	54	3	12	13	27	68	12	25	37	13	17	11	6	17
1562293	02/02/2013	Away	62	Binghamton	200:00	19	47	2	12	6	10	46	6	16	22	9	14	4	3	11
1562293	02/02/2013	Home	14	Albany (NY)	201:00	31	56	11	23	6	8	79	10	24	34	23	9	7		11
1864292	03/09/2013	Away	255	Georgia Tech	200:00	30	57	7	19	5	7	72	9	17	26	10	11	6	3	18
1864292	03/09/2013	Home	67	Boston College	200:00	27	49	6	14	14	25	74	10	19	29	13	11	8	2	8
1948873	03/22/2013	Neutral	428	Minnesota	200:00	31	61	9	16	12	19	83	11	25	36	19	11	7	3	19
1948873	03/22/2013	Neutral	110	UCLA	200:00	20	63	4	22	19	25	63	19	23	42	10	15	5	2	19
1424412	11/16/2012	Away	996	Cameron	200:00	17	64	8	24	7	9	49	14	25	39	6	15	6	2	21
1424412	11/16/2012	Home	497	North Texas	200:00	31	68	5	20	11	17	78	17	33	50	14	11	5	9	13
1498848	01/12/2013	Away	2678	Ark.-Pine Bluff	200:00	17	56	6	18	10	21	50	11	21	32	8	12	7		10
1498848	01/12/2013	Home	665	Southern U.	200:00	33	60	11	27	7	9	84	7	34	41	18	13	10	5	20
1888734	03/12/2013	Away	810	Wright St.	200:00	21	54	3	11	9	13	54	6	16	22	8	12	14	2	23
1888734	03/12/2013	Home	735	Valparaiso	200:00	21	39	4	14	16	21	62	6	26	32	9	25	8	4	15
1488674	01/09/2013	Away	196	East Carolina	200:00	18	46	9	21	9	12	54	3	20	23	11	18	8	3	16
1488674	01/09/2013	Home	404	Memphis	200:00	28	57	4	12	7	12	67	14	27	41	12	16	11	4	11
1488676	01/09/2013	Away	444	Morehead St.	225:00	31	72	8	27	11	13	81	20	25	45	20	17	8	3	30
1488676	01/09/2013	Home	43	Austin Peay	225:00	26	58	11	21	21	29	84	12	23	35	17	17	8	3	14
1415879	12/01/2012	Away	51	Baylor	200:00	22	54	6	20	14	18	64	6	31	37	9	19	6	8	16
1415879	12/01/2012	Home	334	Kentucky	200:00	21	71	4	22	9	18	55	21	27	48	12	16	10	5	17
